Model / Classifier,Representation,Accuracy,Precision,Recall,F1-Score,Inference Time (ms/image),Training Time (s)
ResNet50 CNN,Raw,0.7,0.7440123296747616,0.7,0.6881269841269841,13.381856679916382,255.06415915489197
ResNet50 CNN,Filtered,0.6,0.6618181818181819,0.6,0.573821025994939,11.609166860580444,217.2073540687561
ResNet50 CNN,Edge,0.375,0.3485964912280702,0.375,0.31380262249827473,11.919403076171875,309.6672611236572
Linear SVM,Raw,0.5875,0.7311278195488721,0.5875,0.5352621168407393,0.5749553442001343,0.9200906753540039
Random Forest,Raw,0.6,0.6722222222222223,0.6,0.5224836601307189,0.6760239601135254,8.561305522918701
KNN,Raw,0.5625,0.623938223938224,0.5625,0.5384732921774917,1.5151500701904297,0.00189971923828125
Linear SVM,Filtered,0.525,0.5623529411764705,0.525,0.4965079365079365,0.7238328456878662,1.2853126525878906
Random Forest,Filtered,0.6,0.6802027649769585,0.6,0.5529100814353974,0.8102536201477051,7.5910704135894775
KNN,Filtered,0.4875,0.47761238761238767,0.4875,0.4473365358137258,0.8291721343994141,0.0019609928131103516
Linear SVM,Edge,0.3625,0.33780663780663783,0.3625,0.338979507938991,1.0681062936782837,3.0880041122436523
Random Forest,Edge,0.3875,0.29780219780219774,0.3875,0.3320492906699803,0.7021784782409668,8.963534593582153
KNN,Edge,0.3,0.28297908232118757,0.3,0.2808378116136737,0.790870189666748,0.0022292137145996094
